first_tag,second_tag,added,same,modified,removed,date
1.4,1.5.0,2681,43708,2162,17370,2009-02-18
1.5.0,1.6.1,38753,21466,3021,62312,2009-11-05
1.6.1,2.0.0,24236,55784,6779,53023,2010-06-05
2.0.0,3.0.0,49339,56466,9781,121999,2012-02-07
3.0.0,3.1.0,9091,175549,3606,12114,2012-06-22
3.1.0,3.2.0,20765,151608,18896,87430,2012-12-17
3.2.0,3.3.0,25240,216618,16076,118220,2013-06-20
3.3.0,3.4.0,104598,242521,3795,45239,2013-10-24
3.4.0,4.0.0,75798,208717,7040,141618,2014-05-30
4.0.0,4.1.0,27544,318189,11642,89832,2015-01-28
4.1.0,4.2.0,79452,303114,37097,98029,2015-10-22
4.2.0,4.3.0,28160,400683,9397,45566,2016-08-09
4.3.0,4.4.0,30593,420682,4371,47873,2017-03-07